DN;D;T;D1;T1;L;ves
150;159;6;114;5;105;2.5
150;159;8;114;6;105;3.1
150;159;10;114;8;105;3.8
150;159;5;133;4.5;105;2
150;159;6;133;5;105;2.5
150;159;8;133;7;105;3.1
150;159;10;133;9;105;3.8
150;159;4.5;133;4;130;2.3
150;159;8;133;8;130;3.9
150;159;10;133;10.0;130;4.8
150;159;12;133;10;130;5.9
150;168;4.5;57;3;75;1.6
150;168;8;57;4;75;2.7
150;168;10;57;5;75;3.3
150;168;12;57;6;75;4
150;168;4.5;76;3.5;75;1.6
150;168;8;76;5;75;2.7
150;168;10;76;6;75;3.3
150;168;12;76;7;75;4
150;168;4.5;89;3.5;130;2.6
150;168;8;89;6;130;4.1
150;168;10;89;8;130;5.1
150;168;12;89;8;130;6.2
150;168;4.5;108;4;130;2.6
150;168;8;108;6;130;4.1
150;168;10;108;8;130;5.1
150;168;12;108;9;130;6.2
150;168;4.5;114;4;130;2.6
150;168;8;114;6;130;4.1
150;168;10;114;8;130;5.1
150;168;12;114;9;130;6.2
150;168;4.5;133;4;130;2.6
150;168;8;133;8;130;4.1
150;168;10;133;10;130;5.1
150;168;12;133;10;130;6.2
200;219;6;57;3;95;2.9
200;219;10;57;4;95;4.6
200;219;12;57;4;95;5.5
200;219;14;57;5;95;6.4
200;219;16;57;6;95;7.3
200;219;6;76;3.5;95;2.9
200;219;10;76;5;95;4.6
200;219;12;76;5;95;5.5
200;219;14;76;6;95;6.4
200;219;16;76;7;95;7.3
200;219;6;89;3.5;95;2.9
200;219;10;89;5;95;4.6
200;219;12;89;5;95;5.5
200;219;14;89;6;95;6.4
200;219;16;89;8;95;7.3
200;219;6;108;4;95;2.9
200;219;10;108;6;95;4.6
200;219;12;108;8;95;5.5
200;219;14;108;8;95;6.4
200;219;16;108;9;95;7.3
200;219;6;114;4;95;2.9
200;219;10;114;6;95;4.6
200;219;12;114;8;95;5.5
200;219;14;114;8;95;6.4
200;219;16;114;9;95;7.3
200;219;6;133;4;140;4.4
200;219;10;133;8;140;7.2
200;219;12;133;8;140;8.8
200;219;14;133;10;140;10
200;219;16;133;10;140;12
200;219;6;159;4.5;140;4.4
200;219;10;159;8;140;7.2
200;219;12;159;10;140;8.8
200;219;14;159;12;140;10
200;219;16;159;12;140;12
200;219;6;168;4.5;140;4.4
200;219;10;168;8;140;7.2
200;219;12;168;10;140;8.8
200;219;14;168;12;140;10
200;219;16;168;12;140;12
250;273;7;108;4;140;6
250;273;10;108;6;140;8.5
250;273;12;108;8;140;10
250;273;14;108;8;140;12
250;273;16;108;9;140;13
250;273;18;108;9;140;15
250;273;7;114;4;140;6
250;273;10;114;6;140;8.5
250;273;12;114;8;140;10
250;273;14;114;8;140;12
250;273;16;114;9;140;13
250;273;18;114;9;140;15
250;273;7;133;4;140;6
250;273;10;133;6;140;8.5
250;273;12;133;8;140;10
250;273;14;133;8;140;12
250;273;16;133;10;140;13
250;273;18;133;10;140;15
250;273;7;159;4.5;180;8.3
250;273;10;159;8;180;12
250;273;12;159;10;180;14
250;273;14;159;10;180;16
250;273;16;159;12;180;18
250;273;18;159;12;180;20
250;273;7;168;4.5;180;8.3
250;273;10;168;8;180;12
250;273;12;168;10;180;14
250;273;14;168;10;180;16
250;273;16;168;12;180;18
250;273;18;168;12;180;20
250;273;7;219;6;180;8.3
250;273;10;219;8;180;12
250;273;12;219;10;180;14
250;273;14;219;12;180;16
250;273;16;219;14;180;18
250;273;18;219;16;180;20
300;325;8;108;4;140;9
300;325;10;108;4;140;11
300;325;12;108;6;140;16
300;325;14;108;6;140;18
300;325;16;108;8;140;20
300;325;18;108;8;140;23
300;325;22;108;9;140;28
300;325;8;114;4;140;9
300;325;10;114;4;140;11
300;325;12;114;6;140;16
300;325;14;114;6;140;18
300;325;16;114;8;140;20
300;325;18;114;8;140;23
300;325;22;114;9;140;28
300;325;8;133;5;140;11
300;325;10;133;6;140;13
300;325;12;133;8;140;16
300;325;14;133;8;140;18
300;325;16;133;8;140;20
300;325;18;133;10;140;23
300;325;22;133;10;140;28
300;325;8;159;4.5;140;11
300;325;10;159;6;140;14
300;325;12;159;8;140;16
300;325;14;159;8;140;18
300;325;16;159;10;140;20
300;325;18;159;10;140;23
300;325;22;159;12;140;28
300;325;8;168;4;140;11
300;325;10;168;6;140;14
300;325;12;168;8;140;16
300;325;14;168;8;140;18
300;325;16;168;10;140;20
300;325;18;168;10;140;23
300;325;22;168;12;140;28
300;325;8;219;7;180;11
300;325;10;219;8;180;14
300;325;12;219;10;180;17
300;325;14;219;10;180;20
300;325;16;219;12;180;22
300;325;18;219;14;180;25
300;325;22;219;16;180;31
300;325;8;273;7;180;11
300;325;10;273;10;180;14
300;325;12;273;12;180;17
300;325;14;273;12;180;20
300;325;16;273;14;180;22
300;325;18;273;16;180;25
300;325;22;273;18;180;31
350;377;12;159;6;220;22
350;377;16;159;8;220;29
350;377;20;159;10;220;35
350;377;24;159;12;220;42
350;377;26;159;12;220;45
350;377;12;168;6;220;22
350;377;16;168;8;220;29
350;377;20;168;10;220;35
350;377;24;168;12;220;42
350;377;26;168;12;220;45
350;377;12;219;8;220;22
350;377;16;219;10;220;29
350;377;20;219;12;220;35
350;377;24;219;14;220;42
350;377;26;219;16;220;45
350;377;10;273;7;220;20
350;377;12;273;10;220;24
350;377;14;273;12;220;28
350;377;16;273;12;220;31
350;377;20;273;16;220;38
350;377;24;273;18;220;45
350;377;26;273;18;220;49
350;377;10;325;8;220;20
350;377;12;325;10;220;24
350;377;14;325;12;220;28
350;377;16;325;16;220;31
350;377;20;325;18;220;38
350;377;24;325;22;220;45
350;377;26;325;22;220;49
400;426;12;159;8;220;37
400;426;16;159;10;220;53
400;426;20;159;10;220;65
400;426;22;159;10;220;71
400;426;26;159;12;220;83
400;426;28;159;12;220;89
400;426;12;168;8;220;37
400;426;16;168;10;220;53
400;426;20;168;10;220;65
400;426;22;168;10;220;71
400;426;26;168;12;220;83
400;426;28;168;12;220;89
400;426;12;219;8;220;32
400;426;16;219;10;220;45
400;426;20;219;12;220;56
400;426;22;219;12;220;61
400;426;26;219;14;220;72
400;426;28;219;16;220;76
400;426;12;273;10;220;27
400;426;16;273;12;220;36
400;426;20;273;14;220;44
400;426;22;273;14;220;48
400;426;26;273;18;220;56
400;426;28;273;18;220;59
400;426;10;325;8;220;23
400;426;12;325;10;220;27
400;426;14;325;12;220;31
400;426;16;325;12;220;36
400;426;20;325;16;220;44
400;426;22;325;18;220;48
400;426;26;325;20;220;56
400;426;28;325;22;220;59
400;426;10;377;10;220;23
400;426;12;377;12;220;27
400;426;14;377;14;220;31
400;426;16;377;16;220;36
400;426;20;377;20;220;44
400;426;22;377;20;220;48
400;426;26;377;24;220;56
400;426;28;377;26;220;59
500;530;12;377;10;300;46
500;530;14;377;12;300;54
500;530;16;377;12;300;61
500;530;20;377;16;300;75
500;530;22;377;20;300;81
500;530;26;377;22;300;94
500;530;12;426;10;300;46
500;530;14;426;12;300;54
500;530;16;426;16;300;61
500;530;20;426;16;300;75
500;530;22;426;20;300;81
500;530;26;426;22;300;94
